Entidad federativa,Año,Trimestre, Tasa de desocupacion,Población Económicamente Activa (PEA). Total,Población desocupada. Total
Guanajuato,2018,4,3.8,2659163,101227
Guerrero,2018,4,1.2,1559635,18896
Hidalgo,2018,4,2.1,1302465,27125
Jalisco,2018,4,2.5,3797311,96824
México,2018,4,3.8,7924199,304645
Michoacán de Ocampo,2018,4,2.5,2014164,49490
Morelos,2018,4,2.1,838342,17618
Nayarit,2018,4,3.6,620909,22171
Nuevo León,2018,4,3.5,2508932,88389
Oaxaca,2018,4,2.0,1766964,35018
Puebla,2018,4,2.5,2849781,71782
Querétaro,2018,4,3.7,861125,31870
Quintana Roo,2018,4,3.1,872731,26671
San Luis Potosí,2018,4,2.1,1221282,26105
Sinaloa,2018,4,3.1,1389771,43261
Sonora,2018,4,3.6,1464617,53013
Tabasco,2018,4,7.9,1019337,80052
Tamaulipas,2018,4,3.8,1697868,65144
Tlaxcala,2018,4,4.0,603336,24269
Veracruz de Ignacio de la Llave,2018,4,2.7,3330020,91111
Yucatán,2018,4,1.5,1100165,16052
Zacatecas,2018,4,2.4,661187,16194
