No Cuenca;Nombre de la cuenca;R H;Nombre de la Region Hidrologica;Disponibilidad media de agua superficial por cuenca Mm3;;;;;;
710;Río Santa María 1;34;Cuencas Cerradas del Norte;-8.043;;;;;;
711;Río Santa María 2;34;Cuencas Cerradas del Norte;54.961;;;;;;
712;Laguna El Sabinal;34;Cuencas Cerradas del Norte;5.485;;;;;;
713;Desierto de Samalayuca;34;Cuencas Cerradas del Norte;129.171;;;;;;
714;Laguna La Vieja;34;Cuencas Cerradas del Norte;34.345;;;;;;
715;Río del Carmen 1;34;Cuencas Cerradas del Norte;12.608;;;;;;
716;Río del Carmen 2;34;Cuencas Cerradas del Norte;116.894;;;;;;
717;Rancho El Cuarenta;34;Cuencas Cerradas del Norte;16.331;;;;;;
718;Arroyo Roma;34;Cuencas Cerradas del Norte;29.626;;;;;;
719;Félix U. Gómez;34;Cuencas Cerradas del Norte;32.406;;;;;;
720;Arroyo El Carrizo;34;Cuencas Cerradas del Norte;41.104;;;;;;
721;Arroyo El Burro;34;Cuencas Cerradas del Norte;56.013;;;;;;
722;Laguna de Tarabillas;34;Cuencas Cerradas del Norte;26.990;;;;;;
723;Laguna El Cuervo;34;Cuencas Cerradas del Norte;94.180;;;;;;
724;Laguna de Encinillas;34;Cuencas Cerradas del Norte;51.744;;;;;;
725;Rancho Hormigas-El Diablo ;34;Cuencas Cerradas del Norte;4.776;;;;;;
726;Laguna de Bustillos;34;Cuencas Cerradas del Norte;26.691;;;;;;
727;Laguna Los Mexicanos;34;Cuencas Cerradas del Norte;23.870;;;;;;
728;Valle Hundido;35;Mapimi;4.039;;;;;;
729;Laguna del Rey;35;Mapimi;16.665;;;;;;
730;Laguna del Guaje-Lipanés;35;Mapimi;7.019;;;;;;
731;Polvorillos- Arroyo El Marquez;35;Mapimi;12.614;;;;;;
732;El Llano-Laguna del Milagro;35;Mapimi;13.214;;;;;;
733;Arroyo La India-Laguna Palomas;35;Mapimi;3.171;;;;;;
734;Río Sextín;36;Nazas-Aguanaval;3.205;;;;;;
735;Río Ramos;36;Nazas-Aguanaval;3.584;;;;;;
736;Presa Lázaro Cárdenas;36;Nazas-Aguanaval;8.065;;;;;;
737;Agustín Melgar;36;Nazas-Aguanaval;9.051;;;;;;
738;Presa Francisco Zarco;36;Nazas-Aguanaval;9.638;;;;;;
739;Los Ángeles;36;Nazas-Aguanaval;9.657;;;;;;
740;Canal Santa Rosa;36;Nazas-Aguanaval;9.985;;;;;;
741;Arroyo Cadena ;36;Nazas-Aguanaval;4.690;;;;;;
742;Laguna de Mayrán;36;Nazas-Aguanaval;10.695;;;;;;
743;Presa Santa Rosa;36;Nazas-Aguanaval;1.795;;;;;;
744;Presa Leobardo Reynoso;36;Nazas-Aguanaval;8.564;;;;;;
745;Presa Cazadero;36;Nazas-Aguanaval;32.364;;;;;;
746;San Francisco;36;Nazas-Aguanaval;72.009;;;;;;
747;Presa La Flor;36;Nazas-Aguanaval;105.869;;;;;;
748;Nazareno;36;Nazas-Aguanaval;107.115;;;;;;
749;Laguna de Viesca;36;Nazas-Aguanaval;145.262;;;;;;
750;Sierra Madre Oriental;37;Salado;6.114;;;;;;
751;Matehuala;37;Salado;5.063;;;;;;
752;Sierra de Rodríguez;37;Salado;4.820;;;;;;
753;Camacho-Gruñidora;37;Salado;4.251;;;;;;
754;Fresnillo - Yescas;37;Salado;4.311;;;;;;
755;Presa San Pablo y otras;37;Salado;3.912;;;;;;
756;Presa San José - Los Pilares y otras;37;Salado;6.461;;;;;;
757;Sierra Madre ;37;Salado;5.976;;;;;;
